372,414,"13880,13882,13884,13945,13947,13946,13879,13877,13881,13883,13871,13998,13875,13958,13957,13959,13981,13974,13975,13950,13949,13948,13961,13967,13966,13965,13979,13972,13973,13970,13969,13968,13971,13980,13962,13964,13963,13955,13915,13873,13916,13952,13956,13951,13872,13953,13917,13918,13976,13977,13960,13874,13978,","5032=9123,;",AH_9123098,Hiển thị Hoa hồng 9123 và 098,1,VT_PM2_HOANGNT14,PRODUCT,2018-08-20 00:00:00,2019-03-22 11:24:43,,,2
393,414,"13982,","13995=1,;",AH_098_TT_SK_VIP,Hiển thị 098 TT Menu SK VIP,1,VT_PM2_HOANGNT14,PRODUCT,2018-08-20 00:00:00,2019-03-22 11:24:43,,,2
394,414,"13983,","13995=2,;",AH_098_TT_SK_TIEMNANG,Hiển thị 098 TT Menu SK Tiềm năng,1,VT_PM2_HOANGNT14,PRODUCT,2018-08-20 00:00:00,2019-03-22 11:24:43,,,2
395,414,"13984,","13995=3,;",AH_098_TT_SK_DT,Hiển thị 098 TT Menu SK Đại trà,1,VT_PM2_HOANGNT14,PRODUCT,2018-08-20 00:00:00,2019-03-22 11:24:43,,,2
396,414,"13985,","13995=4,;",AH_098_TT_INTERNET,Hiển thị 098 TT Menu Internet,1,VT_PM2_HOANGNT14,PRODUCT,2018-08-20 00:00:00,2019-03-22 11:24:43,,,2
397,414,"13986,","13995=5,;",AH_098_TT_HOT,Hiển thị 098 TT Menu HOT,1,VT_PM2_HOANGNT14,PRODUCT,2018-08-20 00:00:00,2019-03-22 11:24:43,,,2
398,414,"13994,","13995=6,;",AH_098_TT_QTNT,Hiển thị 098 TT Menu Quà tặng người thân,1,VT_PM2_HOANGNT14,PRODUCT,2018-08-20 00:00:00,2019-03-22 11:24:43,,,2
399,414,"13988,","13996=2,;",AH_098_HSSV_SK_TIEMNANG,Hiển thị 098 HSSV Menu SK Tiềm năng,1,VT_PM2_HOANGNT14,PRODUCT,2018-08-20 00:00:00,2019-03-22 11:24:43,,,2
400,414,"13987,","13996=1,;",AH_098_HSSV_SK_HSSV,Hiển thị 098 HSSV Menu SK HSSV,1,VT_PM2_HOANGNT14,PRODUCT,2018-08-20 00:00:00,2019-03-22 11:24:43,,,2
401,414,"13989,","13996=4,;",AH_098_HSSV_INTERNET,Hiển thị 098 HSSV Menu INTERNET,1,VT_PM2_HOANGNT14,PRODUCT,2018-08-20 00:00:00,2019-03-22 11:24:43,,,2
402,414,"13990,","13996=5,;",AH_098_HSSV_HOT,Hiển thị 098 HSSV Menu HOT,1,VT_PM2_HOANGNT14,PRODUCT,2018-08-20 00:00:00,2019-03-22 11:24:43,,,2
684,414,"14613,14611,14629,14607,14606,14609,14608,14656,14657,14583,",14500=4;,AH_OCS_04,Hiển thị Template Limited-X GB hết lưu lượng dừng,1,VT_PM2_HOANGNT14,PRODUCT,2018-09-04 00:00:00,2019-03-22 11:24:43,,,2
623,414,"14527,",14541=1;,AH_KM_CK4,Hiển thị khi chọn khuyến mãi theo tháng,1,VT_PM2_HOANGNT14,PRODUCT,2018-08-20 00:00:00,2019-03-22 11:24:43,,,2
643,414,"14501,",13916=LIST_DATA_MULTI;,AH_NGAY_GOI_DACHUKY,Hiển thị ngày cho gói cước đa chu kỳ,1,VT_PM2_HOANGNT14,PRODUCT,2018-08-20 00:00:00,2019-03-22 11:24:44,,,2
681,414,"14613,14611,14607,14606,14608,14668,14583,14686,",14500=1;,AH_OCS_01,"Hiển thị Template Mimax1.5 - X MB, hết lưu lượng dừng truy cập",1,VT_PM2_HOANGNT14,PRODUCT,2018-08-30 00:00:00,2019-03-22 11:24:44,,,2
682,414,"14613,14611,14607,14606,14608,14668,14583,14686,",14500=2;,AH_OCS_02,"Hiển thị Template MIMAX - X MB LL , hết bóp băng thông",1,VT_PM2_HOANGNT14,PRODUCT,2018-08-30 00:00:00,2019-03-22 11:24:44,,,2
443,414,"14243,14244,14247,14245,14248,14246,","5032=6,;",AH_098_VASTT,Hiển thị VAS tập trung theo kênh đăng ký,1,VT_PM2_HOANGNT14,PRODUCT,2018-08-20 00:00:00,2019-03-22 11:24:44,,,2
641,414,"14531,14496,14495,14493,14539,14538,14541,14494,14489,14490,",14540=true;,AH_KM_CK1,Hiển thị khi chọn khuyến mãi theo chu kỳ,0,VT_PM2_HOANGNT14,VT_PM2_HOANGNT14,2018-08-08 00:00:00,2018-08-08 00:00:00,,,2
621,414,"1217,7443,7441,7654,7652,7653,7651,7648,7646,7647,7650,6855,6856,6857,6858,6859,6860,6861,6863,6844,6848,6840,6849,6841,6832,6829,6833,6786,6830,6846,6838,6843,6847,4818,4819,1462,1216,2855,6862,6845,6831,6842,6839,",1589=true;,AH_Hotrosharing,Hiển thị hỗ trợ sharing,1,VT_PM2_HOANGNT14,PRODUCT,2018-08-20 00:00:00,2019-03-22 11:24:44,,,2
661,414,"6855,6856,6857,6828,6832,6829,6833,6786,6830,6831,",4790=1;,AH_DCOM,Ẩn hiển dịch vụ Dcom,1,VT_PM2_HOANGNT14,PRODUCT,2018-08-20 00:00:00,2019-03-22 11:24:44,,,0
502,414,"14394,","5032=5,;",PBH_TIENMAT,Hiển thị phí bán hàng tiền mặt,1,VT_PM2_HOANGNT14,PRODUCT,2018-08-20 00:00:00,2019-03-22 11:24:44,,,2
686,414,"14607,14606,14626,14608,14668,14682,14625,14635,",14500=6;,AH_OCS_06,Hiển thị Template Camau50,1,VT_PM2_HOANGNT14,PRODUCT,2018-09-04 00:00:00,2019-03-22 11:24:44,,,2
